Form Name,Description,Label,Property Key,Property Value
model_form_test,form test 1,basic.common.form.model_form_test,,
model_form_test2,form test 2,basic.common.form.model_form_test2,,
sysInstanceDetailForm,sysInstanceDetail,basic.common.form.sysInstanceDetailForm,,
sysInstanceBaseForm,sysInstanceBase,basic.common.group.baseInfo,,
sysPreviewBaseForm,预览下的基础信息,basic.common.group.baseInfo,,
sysEND2PreviewBaseForm,预览下的基础信息,basic.common.group.baseInfo,,
sysECNBaseForm,sysInstanceBase,basic.common.group.baseInfo,,
sysScheduleToDoForm,scheduleToDo,workbench.calendar.title,,
sysNewProductForm,sysNewProduct,basic.common.form.sysNewProductForm,,
sysNewStoreForm,sysNewStore,basic.common.form.sysNewStoreForm,,
sysPersonalCenterForm,sysPersonalCenter,basic.common.form.sysPersonalCenterForm,,
sysTransferTaskForm,sysTransferTask,basic.common.form.sysTransferTaskForm,,
sysNewAssignmentTaskForm,sysNewAssignmentTask,basic.common.form.sysNewAssignmentTaskForm,,
sysNewTaskBaseInfoForm,新建任务基础信息上form,basic.common.form.sysNewAssignmentTaskForm,,
sysNewTaskBaseInfoEditForm,新建任务基础信息上form,basic.common.form.sysNewAssignmentTaskForm,,
sysNewTaskBaseInfoBottomForm,新建任务基础信息下form,basic.common.form.sysNewAssignmentTaskForm,,
sysNewTaskBaseInfoBottomEditForm,新建任务基础信息下form,basic.common.form.sysNewAssignmentTaskForm,,
sysNewTransferTaskForm,sysNewTransferTaskForm,basic.common.form.sysNewTransferTaskForm,,
sysInstanceDetailObjectAssignForm,sysNewTransferTaskForm,basic.common.form.sysNewTransferTaskForm,,
sysInstanceDetailObjectTransferForm,sysNewTransferTaskForm,basic.common.form.sysNewTransferTaskForm,,
sysPublicSpaceNewStepForm,sysPublicSpaceNewStepForm,basic.common.form.sysNewItemForm,,
sysProductNewStepForm,sysProductNewStepForm,basic.common.form.sysProductNewStepForm,,
sysProductDesignNewStepForm,sysProductDesignNewStepForm,basic.common.form.sysNewItemForm,,
sysOthersNewStepForm,sysRelationItemNewStepForm,basic.common.form.sysNewItemForm,,
sysRelationItemNewStepForm,sysOthersNewStepForm,basic.common.form.sysNewItemForm,,
sysNewProcessDeliveryStepForm,工艺任务交付物新建,basic.common.form.sysNewItemForm,,
sysInstanceAddDeliverablesForm,sysInstanceAddDeliverablesForm,basic.common.form.sysNewItemForm,,
sysBatchNewAssignmentTaskForm,sysBatchNewAssignmentTask,basic.common.form.sysBatchNewAssignmentTaskForm,,
sysBatchAddDeliverablesForm,新增交付物,basic.common.form.sysBatchNewAssignmentTaskForm,,
sysBatchAddAdmeaForm,新增子任务（分配任务）,basic.common.form.sysBatchNewAssignmentTaskForm,,
sysAssignmentTaskForm,sysAssignmentTask,basic.common.form.sysAssignmentTaskForm,,
sysNewIDocumentForm,sysNewIDocument,basic.common.form.sysNewIDocumentForm,,
sysDemandForm,sysDemand,basic.common.form.sysDemandForm,,
sysUnimportantFileForm,sysUnimportantFile,basic.common.form.sysUnimportantFileForm,,
sysApproveForm,sysApprove,basic.common.form.sysApproveForm,,
insStartWFForm,insStartWF,basic.common.form.insStartWFForm,,
MasterFileForm,MasterFile,basic.common.form.MasterFileForm,,
newDesignReviewForm,newDesignReview,basic.common.form.newDesignReviewForm,,
UploadFileForm,UploadFile,basic.common.form.UploadFileForm,,
sysCADNewStepForm,sysCADNewStepForm,basic.common.form.sysNewStepWithFileForm,,
sysDocNewStepForm,sysDocNewStepForm,basic.common.form.sysNewStepWithFileForm,,
sysBOMNewBrotherNodeNewStepForm,sysBOMNewBrotherNodeNewStepForm,basic.common.form.sysBOMNewBrotherNodeNewStepForm,,
sysECNewStepForm,sysDocNewStepForm,basic.common.form.sysNewStepWithFileForm,,
newQuestionForm,newQuestion,basic.common.form.newQuestionForm,,
questionBaseInfoForm,questionBaseInfo,basic.common.form.questionBaseInfoForm,,
newStoreForm,newStoreForm,basic.common.form.newStoreForm,,
newProductForm,newProductLibraryForm,basic.common.form.newProductForm,,
sysSaveAsTemplateForm,saveAsTemplateForm,basic.common.form.sysSaveAsTemplateForm,,
sysEditTemplateForm,editTemplateForm,basic.common.form.sysEditTemplateForm,,
batchNewRoleForm,batchNewRoleForm,basic.common.form.batchNewRoleForm,,
batchNewFolderForm,batchNewFolderForm,basic.common.form.batchNewFolderForm,,
editRoleForm,editRoleForm,basic.common.form.editRoleForm,,
ModifyFolderForm,ModifyFolderForm,basic.common.form.ModifyFolderForm,,
advancedSearchFilterForm,advancedSearchFilterForm,basic.common.form.advancedSearchFilterForm,,
sysNewApproveTemplateForm,sysNewApproveTemplateForm,basic.common.form.sysNewApproveTemplateForm,,
sysECRform,sysECRform,basic.common.form.sysECRform,,
sysECNform,sysECNform,basic.common.form.sysECNform,,
sysECOform,sysECOform,basic.common.form.sysECOform,,
sysChangeScopePreDefineForm,sysChangeScopePreDefineForm,basic.common.form.sysChangeScopePreDefineForm,,
sysReplaceChangeScopePreDefineForm,sysReplaceChangeScopePreDefineForm,basic.common.form.sysReplaceChangeScopePreDefineForm,,
sysBatchSettingForm,sysBatchSettingForm,basic.common.form.sysBatchSettingForm,,
sysStoreEditForm,sysStoreEditForm,basic.common.form.sysStoreEditForm,,
sysProductEditForm,sysProductEditForm,basic.common.form.sysProductEditForm,,
sysWizardECRform,sysWizardECRform,basic.common.form.sysECRform,,
sysWizardECNform,sysWizardECNform,basic.common.form.sysECNform,,
sysOtherECIform,sysWizardECNform,basic.common.form.sysECNform,,
sysReplaceSchemeAddForm,新增替代方案form,basic.common.form.sysReplaceSchemeAddForm,,
sysReplaceSchemeDetailForm,替代方案详细信息form,basic.common.form.sysReplaceSchemeDetailForm,,
sysSubItemEffectiveDateForm,替代物料生效日期form,basic.common.form.sysSubItemEffectiveDateForm,,
sysSubItemExpirationDateForm,替代物料失效日期form,basic.common.form.sysSubItemExpirationDateForm,,
sysDrawApproveForm,图纸审批添加批注,basic.commom.form.sysDrawApprove,,
sysProcessTaskDistributionForm,工艺分工,basic.common.form.sysProcessTaskDistributionForm,,
sysDivideWorkForm,设计清单分工form,basic.common.form.sysDivideWorkForm,,
sysInstanceDetailObjectForm,任务对象详情,basic.common.form.sysInstanceDetailObjectForm,,
sysInstanceDetailProcessObjectForm,工艺任务对象详情,basic.common.form.sysInstanceDetailObjectForm,,
sysERPIntegrationTemplateAndCompaniesForm,选择ERP集成模板及运营中心,basic.common.form.sysERPBatchGlobalSearchForm,,
sysERPBatchGlobalSearchForm,高级搜索批量选择ERP集成模板及运营中心,basic.common.form.sysERPBatchIntegrationTemplateAndCompaniesForm,,
sysERPBatchIntegrationTemplateAndCompaniesForm,批量选择ERP集成模板及运营中心,basic.common.form.sysERPBatchIntegrationTemplateAndCompaniesForm,,
sysObjectPauseForm,暂停任务,basic.common.form.sysObjectPauseForm,,
sysObjectWithDrawForm,暂停任务,basic.common.form.sysObjectWithDrawForm,,
sysObjectAuditForm,审核,basic.common.form.sysObjectPauseForm,,
sysObjectUpdateForm,更新,basic.common.form.sysObjectPauseForm,,
sysExportBomForm,导出BOM,导出BOM,,
sysNewTransferObjectForm,新增转换对象,basic.common.form.sysNewTransferObjectForm
sysTransFileForm,文件转换,basic.common.form.sysTransFileForm
sysOrganUserPdmForm,组织结构用户表单,,,
sysOrganAgentPdmForm,组织结构代理人表单,,,
sysProjectNewStepForm,sysProjectNewStepForm,basic.common.form.sysProjectNewStepForm,,
sysProjectNewTemplateForm,sysProjectNewTemplateForm,basic.common.form.sysProjectNewTemplateForm,,
sysProjectNewTaskForm,sysProjectNewTaskForm,basic.common.form.sysProjectNewTaskForm,,
sysNewRelatedForm,相关对象新建,,,
sysAssemblyOutlineProcessFlowConstituteExportSOPForm,sysAssemblyOutlineProcessFlowConstituteExportSOPForm,basic.common.form.sysAssemblyOutlineProcessFlowConstituteExportSOPForm,,
sysFabricationOutlineProcessFlowConstituteExportSOPForm,sysFabricationOutlineProcessFlowConstituteExportSOPForm,basic.common.form.sysFabricationOutlineProcessFlowConstituteExportSOPForm,,
sysNewProcessManagementLibraryForm,工艺管理新建库,basic.common.form.sysNewProcessManagementLibraryForm,,
sysNewProcessManagementForm,工艺流程管理接口Form,basic.common.form.sysNewProcessManagementForm,,
sysNewProcessManagementOtherForm,工艺流程管理其他Form,basic.common.form.sysNewProcessManagementOtherForm,,
sysObjectAddStepForm,form对象新增对象表单,,,
sysNewItemCADForm,CAD图档Form,basic.common.form.sysNewItemCADForm,,
sysNewItemCADManagementForm,CAD图档管理Form,basic.common.form.sysNewItemCADManagementForm,,
sysReplaceSettingForm,取代设置,basic.common.form.sysReplaceSettingForm,,
sysConfirmSaveAs,确认另存,确认另存,,
sysWorkflowUploadFileForm,上传文件,上传文件
sysBomForkTopForm,bom派生下的Form,basic.common.form.sysNewProcessManagementOtherForm,,
sysBomHisForm,bom派生历史记录Form,basic.common.form.sysNewProcessManagementOtherForm,,
sysBRSApplyForBaseInfoForm,sysPublicSpaceNewStepForm,basic.common.form.sysNewItemForm,,
replaceQueryForm,替代查询-查询条件,,,
sysBRSAFDRAddForm,替代查询单-替代表格-新增元件,,,
sysBRSApplyForInitForm,替代查询单-默认替代件设置,,,
sysBRSApplyForGlobalInitForm,替代查询单-默认替代件设置-全局,,,
sysBRSTableSearchForm,替代关系搜索表单,,,
sysBRSSubItemEffectiveDateForm,替代物料生效日期form,basic.common.form.sysSubItemEffectiveDateForm,,
sysBRSSubItemExpirationDateForm,替代物料失效日期form,basic.common.form.sysSubItemExpirationDateForm,,
sysTbBatchAddDeliverablesForm,新增交付物,basic.common.form.sysBatchNewAssignmentTaskForm,,
sysGeneralConditionSaveForm,全局搜索-通用条件保存,,,
