Table Name,Description,Label,Action,Property Key,Property Value
sysQuickOperateTable,工作台快捷列表,basic.common.table.sysQuickOperateTable,open:/common/instance?className=$className&mode=create&canExport=false&guid="$guid",total|bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|cardWidth|cardHeight,false|false|false|false|false|false|false|false|false|false|false|100px|80px
sysWorkbenchTodoTable,工作台待办任务,basic.common.table.sysWorkbenchTodoTable,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|frozenRight|select|size|wrap|showAddRow,true|true|true|true|false|true|true|true|true|false|1|multi|middle|true|false
sysWorkbenchWorkmanshipTaskTable,工作台工艺任务,basic.common.table.sysWorkbenchWorkmanshipTaskTable,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|frozen|frozenRight|select|size|wrap|showAddRow,true|true|true|true|false|true|true|true|true|false|2|1|multi|middle|true|false
BOMEnd2ItemTable,bom添加子阶,basic.common.table.ItemManageTable,,bordered|pagination|sizeChanger|header|expandable|select|fixHeader|noResult|ellipsis|size|canExport|canSet|frozen|frozenRight,true|true|true|true|false|multi|true|true|true|small|true|true|2|2
ItemManageSearchTable,料件管理,basic.common.table.ItemManageSearchTable,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|size|canExport|canSet|select|size|wrap|frozenRight|frozen|isRowCheckable|initQuery,true|true|true|true|false|true|true|true|true|small|true|true|multi|middle|true|1|2|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
ItemManageSearchSingleTable,料件管理,basic.common.table.ItemManageSearchTable,,bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|size|canExport|canSet|select|size|wrap|frozen|select|isRowCheckable|initQuery,true|true|true|true|false|true|true|true|true|small|true|true|multi|middle|true|2|single|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
notifyListTable,通知列表,basic.common.table.notifyListTable,,select,multi
sysInstanceRelatedItemsDefaultTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysInstanceRelatedItemsUsedDefaultTable,相关附件,basic.common.table.sysProductDesignDetailTable,,select|frozen|frozenRight|sizeChanger|size|canExport,multi|2|1|true|middle|true
sysInstanceReferencedTable,使用情况,basic.common.table.sysInstanceReferencedTable,,total|bordered|pagination|sizeChanger|header|expandable|checkbox|fixHeader|noResult|ellipsis|simple|draggable|select|frozen,false|true|true|true|true|false|true|true|true|true|true|false|multi|2
