Toolbar Name,Description,Label,Children,Property Key,Property Value
taskListToolbar,任务列表,basic.common.toolbar.taskListToolbar,checkInCommand|checkOutCommand|sysDefaultOtherCommandToolBar,,
toolbarpurchase,任务列表,basic.common.toolbar.toolbarpurchase,checkInCommand|checkOutCommand|sysDefaultOtherCommandToolBar,,
ItemManagerTestToolbar,物料管理,basic.common.toolbar.ItemManagerTestToolbar,newCommand|searchText|searchType|searchCommand|FilterCommand|searchTypeCode|sysDefaultOtherCommandToolBar,align|reviseIndex,left|4
ItemManagerToolbar,物料管理,basic.common.toolbar.ItemManagerToolbar,newCommand|searchText|sysDefaultOtherCommandToolBar,align|reviseIndex,left|2
sysDefaultOtherCommandToolBar,其他,common.toolbar.sysInstanceMoreOperationToolbar,sysExportAllCommand_|sysPasteCommand,nzIcon,bars
sysRelationDefaultOtherCommandToolBar,其他,common.toolbar.sysInstanceMoreOperationToolbar,sysExportAllCommand_|sysRelationPasteChildNodeCommand,nzIcon,bars
ItemManagerTableOptionToolBar,操作,basic.common.toolbar.ItemManagerTableOptionToolBar,checkInCommand|sysDeleteCommand|sysCopyObjectCommand|sysCopyNewCommand|ItemManagerTableOptionOthersToolBar,,
ItemManagerTableOptionOthersToolBar,更多,basic.common.toolbar.ItemManagerTableOptionOthersToolBar,sysPasteFolderCommand|sysModifyFolderCommand|sysFolderPermissionsCommand_|sysPermissonModifyOwnerCommand|sysCopyNewFolderCommand|sysCopyNewCommand|checkInCommand|checkOutCommand|sysDonwloadCommand|sysERPOptionCommand|workbenchCancelCheckOutCommand|sysCheckOutTransferCommand|sysDownloadPicCommand_|sysTransferFileCommand,masterStyle,link
ItemManagerTableFloatOptionToolBar,悬浮操作,basic.common.toolbar.ItemManagerTableFloatOptionToolBar,sysfloatCheckInCommand|sysfloatCheckOutCommand|sysfloatCancelCheckOutCommand|sysfloatCheckOutTransferCommand|sysfloatDeleteCommand|sysCopyObjectCommand|ItemManagerTableFloatOptionOthersToolBar_,,
ItemManagerTableFloatOptionOthersToolBar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysExportERPCommand_,masterStyle,link
sysInstanceDetailToolbar,详细信息,basic.common.toolbar.sysInstanceDetailToolbar,sysCheckInCommand|sysCheckOutCommand|sysInstanceSaveCommand|sysStartWFCommand|sysInstanceDetailOthersToolbar,align|reviseIndex,left|4
sysInstanceDetailOthersToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysInstanceSaveAsCommand|sysInstanceDeleteCommand|sysCancelCheckOutCommand|sysNewRevisionCommand|insEditReplaceSubstituteCommand|sysCheckOutTransferCommand|sysExportERPCommand_|insTransFileCommand_|insViewSubstituteCommand_|sysModifyOwnerCommand|insIterationCommand|sysCopyObjectCommand|sysInstanceFileTransToolbar_|sysOpenECRCommand|sysOpenECNCommand|sysInstanceViewCommand|sysCreateBOMCommand|openDesignCommand,visiableExpression|nzIcon|trigger|visiableURL,$GUID$|unordered-list|hover|/Queue/ITransformService/listTransConfig?GUID$=$GUID$&CLASSGUID$=$CLASSGUID$&CLASSNAME$=$CLASSNAME$
sysReplaceSchemeFormDetailToolbar,替代方案详细信息,basic.common.toolbar.sysReplaceSchemeFormDetailToolbar,sysNewOutReplaceDetailFormCheckInCommand_|sysNewOutReplaceDetailFormCheckOutCommand_|sysNewOutReplaceFormCancelCheckOutCommand_|sysNewOutReplaceFormSaveCommand
sysRepSchDetailStateRightToolbar,替代方案详细操作(右),basic.common.toolbar.sysRepSchDetailStateRightToolbar,sysOutStartWFCommand|sysRepSchDetailOthersToolbar,,
sysRepSchDetailOthersToolbar,替代方案更多,common.toolbar.sysInstanceMoreOperationToolbar,sysOutReplaceSaveAsCommand|sysOutReplaceCheckOutTransferCommand_|sysOutRRSolutionDeleteCommand|sysOutReplaceChangeOwnerCommand|insIterationCommand_,visiableExpression|nzIcon|trigger,$GUID$|unordered-list|hover
sysSubItemGroupNewToolbar,新增替代物料组表格,新增替代物料组表格,sysAllItemSearchCommand|sysAllItemsGlobalSearchCommand,align|reviseIndex,right|2
sysInstanceRelatedToolbar,关联,basic.common.toolbar.sysInstanceRelatedToolbar,exportCommand|checkOutCommand,,
sysInstanceReferencedToolbar,使用情况,basic.common.toolbar.sysInstanceReferencedToolbar,exportCommand|checkOutCommand,,
sysInstanceWorkflowToolbar,工作流,basic.common.toolbar.sysInstanceWorkflowToolbar,sysInsWorkflowOpenCommand,,
sysRestrictedSubstanceOperationToolbar,限用物质管制表,basic.common.toolbar.sysRestrictedSubstanceToolbar,sysRestrictedSubstanceEditCommand|sysRestrictedSubstanceDeleteCommand,,
sysInstanceRevisionToolbar,版本,basic.common.toolbar.sysInstanceRevisionToolbar,sysInsOpenCommand,,
sysInstanceECToolbar,工程变更,basic.common.toolbar.sysInstanceECToolbar,exportCommand|checkOutCommand,,
sysInstanceBOMTableOptionMoreToolBar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysBOMEditCancelCommand|sysReplaceViewCommand_|sysReplaceSettingCommand|sysBRSReplaceApplyForCmmand|sysCopyObjectCommand|sysBOMExportCommand|sysBOMBatchDownloadCommand|_sysSupersedeSettingCommand|sysBOMRefreshSeqCommand|_sysBomForkDerCommand|_sysSupersedeSettingCommand|sysMaintenanceProductCreateTaskCommand|sysBomCompareCommand,masterStyle,link
sysInstanceBOMToolbar,BOM,basic.common.toolbar.sysInstanceBOMToolbar,sysCADToBOMCommand_|sysBOMImportCommand|sysBOMRefreshCommand,align|reviseIndex,left|3
sysInstanceBOMOperationToolbar,BOM操作列,basic.common.toolbar.sysInstanceBOMOperationToolbar,sysBOMEditCommand|sysBOMEditCompletedCommand|sysBomCutCommand|sysRemoveEnd2BOMCommand|sysInstanceBOMTableOptionMoreToolBar,,
sysInstanceBOMFloatToolbar,BOM浮动,,sysBatchCopyObjectCommand|sysBomBatchCutCommand|sysBOMBatchRemoveEnd2Command|sysMaintenanceProductCreateBatchTaskCommand,,
sysInstanceBOMFloatMoreToolBar,浮动其他,common.toolbar.sysInstanceMoreOperationToolbar,sysReplaceSettingBatchCommand,masterStyle,link
sysModelStructureOperationToolbar,模型结构,,sysModelPreviewCommand|sysCopyObjectCommand,,
sysModelStructureWithNoPreviewOperationToolbar,模型结构(无预览),,sysCopyObjectCommand,,
sysWorkbenchApproveToolbar,待我审签,basic.common.toolbar.sysWorkbenchApproveToolbar,,,
sysWorkbenchTodoToolbar,工作台,basic.common.toolbar.sysWorkbenchToolbar,sysWorkbenchTaskListCommand,align|reviseIndex,left|2
sysWorkbenchTodoNewToolbar,待办任务,basic.common.toolbar.sysWorkbenchToolbar,sysWorkbenchTaskListNewCommand,align|reviseIndex,left|2
sysWorkbenchProjectTaskToolbar,项目任务,basic.common.toolbar.sysWorkbenchProjectTaskToolbar,sysWorkbenchProjectTaskListCommand,align|reviseIndex,left|2
sysWorkbenchOtherToolbar,其他,common.toolbar.sysInstanceMoreOperationToolbar,,,
sysInstanceRelatedSomeCADToolbar,CAD图档,basic.common.toolbar.sysInstanceRelatedSomeCADToolbar,sysAddItem3DCommand|sysAddItem2DCommand|sysAddItemECADCommand,align,right
sysInstanceRelatedCADToolbar,CAD图档,basic.common.toolbar.sysInstanceRelatedCADToolbar,sysCommonNewCommand|sysAddItemCADCommand|sysRelationDefaultOtherCommandToolBar,align|reviseIndex|showTitle,right|0|true
sysInstanceRelatedOptionToolBar,相关附件,common.toolbar.sysInstanceRelatedOptionToolBar,sysRemoveEnd2Command|sysCopyObjectCommand|sysRelatedItemsDonwloadCommand,,
sysInstanceRelatedItemsDefaultFloatToolbar,相关附件Batch操作,common.toolbar.sysInstanceRelatedBatchOptionToolBar,sysInstanceRelatedBatchDeleteCommand|sysBatchCopyObjectCommand,,
sysInstanceRelatedItemsUsedDefaultFloatToolbar,相关附件Batch操作,common.toolbar.sysInstanceRelatedBatchOptionToolBar,sysInstanceRelatedBatchDeleteCommand|sysBatchCopyObjectCommand,,
sysInstanceRelatedDrawToolbar,相关图档,basic.common.toolbar.sysInstanceRelatedDrawToolbar,sysCommonNewCommand|sysCommonAddCommand|sysRelationDefaultOtherCommandToolBar,align|reviseIndex|showTitle,right|0|true
sysInstanceRelatedItemsDefaultToolbar,相关软件,basic.common.toolbar.sysInstanceRelatedSoftWareToolbar,sysNewRelatedCommand|sysCommonAddCommand|sysRelationDefaultOtherCommandToolBar,align|reviseIndex,right|0
sysInstanceRelatedItemsUsedDefaultToolbar,相关软件,basic.common.toolbar.sysInstanceRelatedSoftWareToolbar,sysNewRelatedCommand|sysCommonAddCommand|sysRelationDefaultOtherCommandToolBar,align|reviseIndex,right|0
sysInstanceRelatedOptionOthersToolBar,更多操作,basic.common.toolbar.ItemManagerTableOptionOthersToolBar,checkInCommand,,
workbenchApproveOptionToolBar,操作,basic.common.toolbar.ItemManagerTableOptionToolBar,sysApprovalAcceptCommand|sysApprovalRejectCommand,,
workbenchQuickCreateToolBar,快捷操作,basic.common.toolbar.workbenchQuickCreateToolBar,sysQuickCreateCommand,align|reviseIndex|showTitle,right|0|true
sysInstanceRelatedSoftWareOtherToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,checkOutCommand|sysCheckOutTransferCommand|sysModifyOwnerCommand|sysExportERPCommand_,masterStyle,link
workbenchMyTaskTableOptionToolBar,操作,basic.common.toolbar.workbenchMyTaskTableOptionToolBar,checkInCommand|workbenchCancelCheckOutCommand|sysCopyObjectCommand|sysMyCheckoutItemTableMoreToolbar,,
workbenchMyTaskTableOtherToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysCopyNewCommand,masterStyle,link
