Page Name,Description,Class,Label,Children,Property Key,Property Value
project,项目管理,,basic.common.page.project,projectPanel,,
sysInstanceReferencePage,使用情况,,,sysInstanceReferenceParentCommand,,
ProductManagePage,项目管理实例,Project,basic.common.panel.itemInstancePage,sysProductInstanceTabsPanel,showState|toolbar,true|sysProductManageInstanceToolbar
ProductTemplateManagePage,项目模板管理实例,ProjectTemplate,basic.common.panel.itemInstancePage,sysProductTemplateInstanceTabsPanel,showState|toolbar,true|sysProductTemplateInstanceToolbar
sysProductTaskPage,任务,,,sysTaskInstancePanel
sysWorkbenchProductTaskPage,任务,PMTask,,sysWorkbenchTaskInstancePanel|sysRightTaskInstanceGeneralDetailCommand,showState|toolbar|layout,true|sysWorkbenchTaskDetailToolbar|70/30
sysProductTaskTemplatePage,任务模板,PMTaskTemplate,,sysTaskTemplateInstancePanel
sysWorkbenchProductTaskPage,任务,,,sysWorkbenchTaskDetailToolbarCommand|sysWorkbenchTaskInstancePanel
sysProductTaskTemplatePage,任务模板,,,sysTaskTemplateInstancePanel
sysProjectTemplateManagePage,项目模板管理,,,sysProjectTemplateManagePageCommand,,
sysProjectTemplatePreviewPage,项目模板预览,,,sysProjectTemplatePreviewToolbarCommand|sysProjectTemplatePreviewFormCommand,,
sysProjectDetailPage_,项目模板详细信息,,项目模板详细信息,sysProjectDetailTeamSourceCommand|sysProjectDetailWarningCommand|sysProjectDetailMilePostCommand|sysProjectDetailBaseInfoCommand,layout,67!(50(50/50)/50)/33
sysProjectRolePreviewPage,项目角色编辑,,,sysProjectRoleFormCommand|sysProjectMemberTableCommand,,
sysProductManagePage,项目详细信息,,项目详细信息,sysProjectDetailChartCommand|sysProjectDetailInfoCommand,layout,67/33
sysInstancePreviewPage,对象预览,,,sysInstancePreviewBaseCommand|sysInstancePreviewDetailCommand,,
sysProductDeliverablesListPage,交付物清单,,,sysProductDeliverablesListPanel,,
sysProducTemplatetDeliverablesListPage,交付物清单,,,sysProductTemplateDeliverablesListPanel,,
sysTbProductDeliverablesListPage,交付物清单,,,sysTbProductDeliverablesListPanel,,
sysTranProjectPage,转为子项目,,,sysTranProjectTopCommand|sysTranProjectBottomCommand,,
sysWorkbenchTranProjectPage,转为子项目,,,sysTranProjectTopCommand|sysWorkbenchTranProjectBottomCommand,,
sysSummaryDeliverablesListPage,交付物清单,,,sysSummaryDeliverablesListPanel,,
sysTbDeliverablesListPage,交付物,,,sysTbDeliverableCommand,,
sysProjectStatisticsQuery,项目统计查询,,,sysProjectStatisticsQueryPanel,,
sysHomePage,系统界面,,,sysNavigationCommand|sysRouterOutletCommand,,
sysProjectManageBodyPage,项目管理列表,,,sysBreadcrumbCommand|sysProjectManagementCommand,,
sysStatisticsQueryBodyPage,项目统计查询,,,sysBreadcrumbCommand|sysStatisticsQueryCommand,,
sysProjectTemplateManageBodyPage,项目模板管理,,,sysBreadcrumbCommand|sysProjectTemplateManagePageCommand,,
sysInstanceRoutePage,示例路由界面,,,sysInstanceRouteDetailCommand,,
sysPageRouteDetailCommand,page路由界面,,,sysInstanceRouteDetailCommand,,
sysFormRouteDetailCommand,page路由界面,,,sysFormRouteDetailCommand,,
