Form Name,Description,Label,Property Key,Property Value
sysSecurityUserInfoSettingsForm,安全设置用户form,basic.common.form.sysSecurityUserInfoSettingsForm,,
sysSecurityWaterMarkSettingsForm,安全设置水印form,basic.common.form.sysSecurityWaterMarkSettingsForm,,
sysSecurityCharSettingsForm,安全设置字符设置form,basic.common.form.sysSecurityCharSettingsForm,,
sysEmailServerManageForm,邮件服务form,basic.common.form.sysEmailServerManageForm,,
sysEditionRuleForm,版本规则form,basic.common.form.sysEditionRuleForm,,
sysConstraintRuleAddForm,新增规则,basic.common.form.sysConstraintRuleAddForm,,
tempSysOrganizationStructureEditGroupForm,组织结构编辑组,basic.common.form.tempSysOrganizationStructureEditGroupForm,,
tempSysBomTemplateForm,bom模板,basic.common.form.tempSysBomTemplateForm,,
sysCodeNewForm,组码新建,basic.common.form.sysCodeNewForm,,
sysCodeEditForm,组码管理,basic.common.form.sysCodeEditForm,,
tempSysNewUserForm,新建用户,basic.common.form.tempSysNewUserForm,,
tempSysNewMilestoneForm,新建里程碑类型,新建里程碑类型,,
sysSetWorkDateForm,工作日设置,工作日设置,,
sysExceptionDateDetailsForm,例外日期详情信息,例外日期详情信息,,
tempSysNewMilestoneCheckPointForm,新建里程碑关卡,新建里程碑关卡,,
tempSysNewRoleForm,新建角色,basic.common.form.tempSysNewRoleForm,,
tempSysNewOrganizationForm,新建组织,basic.common.form.tempSysNewOrganizationForm,,
sysCodeItemForm,组码子项,basic.common.form.tempSysNewRoleForm,,
tempSysEditOrganizationForm,编辑部门,basic.common.form.tempSysEditOrganizationForm,,
tempSysNewCodeForm,新增code,basic.common.form.tempSysNewCodeForm,,
sysAddBusinessForm,新增业务对象,basic.common.form.tempSysNewCodeForm,,
sysEditBusinessForm,编辑业务对象,basic.common.form.tempSysNewCodeForm,,
tempSysReportFormsForm,报表,basic.common.form.tempSysReportFormsForm,,
tempSysNewBomTemplateForm,新建bom模板,basic.commom.form.tempSysNewBomTemplateForm,,
sysNewRelationTemplateForm,新建关联模板,basic.common.form.tempSysNewRelationTemplateForm,,
sysAddWorkflowTemplateForm,新增工作流模板,basic.common.form.sysAddWorkflowTemplateForm,,
sysWFTemplateSettingForm,工作流模板复制新建,basic.common.form.sysWFTemplateSettingForm,,
sysWFTemplateSettingAddForm,工作流模板设置form,basic.common.form.sysWFTemplateSettingForm,,
sysWFActivitySettingForm,活动设置form,basic.common.form.sysWFActivitySettingForm,,
sysWFActivitySettingNoticeForm,活动设置form,basic.common.form.sysWFActivitySettingNoticeForm,,
sysWFErpIntegrateForm,ERP集成form,basic.common.form.sysWFErpIntegrateForm,,
sysPermiSimUserForm,权限模拟form(用户),basic.common.form.sysPermiSimUserForm,,
sysPermiSimulationForm,权限模拟form,basic.common.form.sysPermiSimulationForm,,
sysPermiSimTableForm,权限模拟form(结果),basic.common.form.sysPermiSimTableForm,,
sysPermiQueryForm,权限查询form,systemSetting.permission.command.permissionQuery,,
sysPermiConditionForm,权限条件form,systemSetting.permission.command.sysPermiConditionForm,,
sysNewTransferForm,新增转换,basic.common.form.sysNewTransferForm,
sysEditTransferForm,新增转换,basic.common.form.sysEditTransferForm,
sysAddSignatureForm,新增签章,basic.common.form.sysAddSignatureForm,
sysClassificationToolbarForm,分类管理form,common.field.classification,,
sysClassificationAddCodeSegmentForm,新增码段form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentFixedCharacterForm,固定字符form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentFiledForm,字段form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentDateForm,日期form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentTimeForm,时间form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentFixedSerialCodeForm,流水码form,basic.common.form.sysNewItemForm,,
sysAddCodeSegmentCodeLengthCorrectForm,码段修正form,basic.common.form.sysNewItemForm,,
sysNewFlowForm,新增流程配置,basic.common.form.sysNewFlowForm,,
sysNewSignForm,新增签章,basic.common.form.sysNewSignForm,,
sysNewParamForm,新增参数,basic.common.form.sysNewParamForm,,
sysNewParamDrawerForm,新增参数,basic.common.form.sysNewParamDrawerForm,,
sysERPIntegratedForm,ERP集成产品库form,ERP集成产品库form,,
sysERPIntegratedCrossServiceIntoForm,ERP集成产品库crossform,ERP集成产品库crossform,,
sysERPIntegratedPlmWebServiceIntoForm,ERP集成产品库plmwebform,ERP集成产品库plmwebform,,
sysERPIntegratedERPProductIntoForm,ERP集成产品库erpERPProductform,ERP集成产品库erpERPProductform,,
sysERPIntegratedERPServiceIntoForm,ERP集成产品库ERPServiceform,ERP集成产品库ERPServiceform,,
sysERPIntegratedTemplateForm,ERP集成模板form,ERP集成产品库form,,
sysOrganUserForm,组织结构用户表单,,,
sysOrganGroupForm,组织结构部门表单,,,
sysOrganAgentForm,组织结构代理人表单,,,
sysMobileDepartmentForm,组织结构移动部门表单,,,
sysAddBomTemplateTopForm,新增BOM模板顶(同编辑),新增BOM模板顶,,
sysAddBomTemplateMiddleForm,新增BOM模板中(同编辑),新增BOM模板中,,
sysAddBomTemplateBottomForm,新增BOM模板下(同编辑),新增BOM模板下,,
sysAddBomRelationForm,新增BOM关系,新增BOM关系,,
sysEditBomTemplateTopForm,编辑BOM模板顶(同编辑),编辑BOM模板顶,,
sysEditBomRelationForm,编辑BOM关系,编辑BOM关系,,
sysNewTransferObjectForm,新建转换对象,新建转换对象,
sysDingDingIntegratedForm,钉钉集成form,basic.common.form.sysDingDingIntegratedForm,,
sysCompositeFieldForm,合成字段,basic.common.form.sysCompositeFieldForm
sysPersonalCenterForm,用户信息,basic.common.form.sysCompositeFieldForm
sysNewRelationTemplateBottomForm,新增模板底部,新增模板底部
sysNewRelationTemplateMiddleForm,新增模板中部,新增模板中部
sysNewRelationTemplateTopForm,新增模板顶部,新增模板顶部
sysNewRelationTemplateTopEditForm,编辑模板顶部,编辑模板顶部
sysDCNewNodeManageFrom,节点管理,节点管理
sysDCNewTaskManageForm,任务管理,任务管理
sysDCNewActuatorManageForm,调度器管理,调度器管理
sysNewCADTemplateForm,新建CAD图档模板,basic.common.form.sysNewCADTemplateForm,,
sysDerRuleRightForm,派生规则,basic.common.form.sysCompositeFieldForm
sysGeneralConditionSaveForm,全局搜索-通用条件保存,,,
sysPreviewBaseForm,预览下的基础信息,basic.common.group.baseInfo,,
