Page Name,Description,Class,Label,Children,Property Key,Property Value
sysRuleManagementPage,规则管理,,,sysEditionRuleCommand,,
sysConstraintRuleDrawerPage,约束规则,,,sysInitiatingConditionCommand|sysInspectionConditionCommand,,
sysTemplateManagementPage,BOM模板管理,,,sysBomTemplateTableCommand|sysBomRelationTableCommand,,
sysOrganizationPage,组织结构（详情）,,,sysOrganizationTablePanel,,
sysCodeManagementPage,组码管理,,,sysCodeManageTabsPanel,,
tempSysBomTemplateDrawerPage,BOM模板管理抽屉,,,tempSysBomTemplateFormCommand|tempSysBOMBusinessObjectTableCommand|tempSysReportFormsTableCommand_,,
tempSysRelationTemplatePage,关系模板,,,sysRelationTemplateTableCommand|sysRelationBusinessObjectTableCommand,,
sysCodeManagementDrawerPage,组码管理抽屉,,,sysCodeManagementFormCommand|sysCodeItemTableCommand,,
tempSysNewUserDrawerPage,用户管理抽屉,,,tempSysNewUserFormCommand,,
tempSysNewRoleDrawerPage,角色管理抽屉,,,tempSysNewRoleFormCommand,,
tempSysWorkflowTemplatePage,工作流模板page,,,tempSysWorkflowTemplateMenuCommand|tempSysWorkflowTemplateDetailPageCommand,layout,20/!80
tempSelectLauncObjectPage,选择可发起对象及分类page,,,tempSelectLaunchObjectMenuCommand|tempSelectLaunchObjectTableCommand,layout,20/!80
tempSelectAvailableObjectPage,选择可用对象及分类page,,,tempSelectAvailableObjectMenuCommand|tempSelectAvailableObjectTableCommand,layout,20/!80
tempSysWorkflowTemplateDetailPage,工作流详情page,,,tempSysWorkflowTemplateTableCommand,,
sysWFTemplateNewPage,工作流模板新增Page,,,sysWFTemplateSettingCommand,,
sysWFActivitySettingContentPage,流程活动设置,,,sysWFActivityTabsPanel,,
sysWFActivitySettingAddPage,流程活动设置Add,,,sysWFActivitySettingCommand,,
sysWFPermissionSettingAddPage,流程权限设置Add,,,tempPermissionSettingCommand,,
sysDataPermissionPage,数据权限(权限管理),,,sysDataPermCommand|sysDataSimulationCommand,,
sysOrganSPage,组织结构页面,,,sysOrganSMenuCommand|sysOrganSTableCommand,layout,15/!85
sysConfigurationTransformationPage,转换配置,,,sysConfigurationTransformationPanel
