Toolbar Name,Description,Label,Children,Property Key,Property Value
sysSecuritySettingsUserInfoToolbar,安全设置用户信息toolbar,,sysSecuritySettingsUserInfoToolbarCommand,align|reviseIndex,right|1
sysSecuritySettingsWaterMarkToolbar,安全设置水印toolbar,,sysSecuritySettingsWaterMarkToolbarCommand,align|reviseIndex,right|1
sysEmailServerManageToolbar,邮箱服务toolbar,,sysEmailServerManageToolbarCommand,,
sysEditionRuleToolbar,版本规则toolbar,,sysEditionRuleToolbarCommand,,
sysInitiatingConditionToolbar,发起条件,发起条件,sysInitiatingConditionAddCommand|sysInitiatingConditionDeleteCommand|sysInitiatingConditionCopyCommand|sysInitiatingConditionPasteCommand,showTitle,true
sysInspectionConditionToolbar,检查条件,检查条件,sysInspectionConditionAddCommand|sysInspectionConditionDeleteCommand|sysInspectionConditionCopyCommand|sysInspectionConditionPasteCommand,showTitle,true
tempSysBomTemplateTableOptionToolbar,操作,,tempSysBomTemplateTableOpenCommand_|tempSysBomTemplateTableCloseCommand_|tempSysBomTemplateSetDefault_|tempSysBomTemplateCopyAdd|tempSysBomTemplateEdit,,
tempSysBomRelationTableOptionToolbar,操作,,tempSysBomRelationEdit,,
tempSysBomBusinessObjectAddToolbar,bom业务对象,systemSetting.bomTemplate.commonTitle.businessObject,tempSysBomBusinessObjectAddCommand,showTitle,true
tempSysBusinessObjectOptionToolbar,操作,,tempSysBusinessObjectOpenCommand|tempSysBusinessObjectCloseCommand,,
tempSysReportFormsToolbar,报表,报表,tempSysReportFormsAddCommand,showTitle,true
tempSysReportFormsOptionToolbar,操作,,tempSysReportFormsEditCommand|tempSysReportFormsDeleteCommand,,
tempSysRelationTemplateOptionToolbar,操作,,_tempSysRelationTemplateOpenCommand|_tempSysRelationTemplateCloseCommand|sysRelationTemplateCopyAddCommand|sysRelationTemplateEditCommand|,,
tempSysRelationBusinessObjectOptionToolbar,操作,,_tempSysRelationBusinessObjectOpenCommand|_tempSysRelationBusinessObjectCloseCommand|sysRelationBusinessEditCommand|,,
sysRelationBusinessObjectToolbar,关系业务对象,systemSetting.relationTemplate.commonTitle.businessObject,sysRelationBusinessObjectAddCommand|sysAssociationBusinessFilterCommand,align|reviseIndex,left|2
tempSysOrganizationStructureMenuOptionToolbar,组织结构menu,,tempSysOrganizationStructureMenuMoreToolbar,,
tempSysOrganizationStructureMenuMoreToolbar,更多,,tempSysOSAddDepartmentCommand|tempSysOSEditDepartmentCommand|tempSysOSOpenDepartmentCommand|tempSysOSCloseDepartmentCommand|tempSysOSUserManageCommand|tempSysOSRoleManageCommand,nzIcon,more
sysCodeItemOptionToolbar,操作,,sysCodeItemDeleteCommand|sysCodeItemModifyCommand,,
tempSysOrganizationToolbar,组织管理,,tempSysOSAddUserCommand,,
sysCodeItemToolbar,组码子项,,sysCodeItemNewCommand,,
sysRoleToolbar,角色管理表格toolbar,,sysOrgantRSearchCommand|sysOrgantRSelectCommand,align|reviseIndex,right|2
sysClassificationCodeToolbar,分类组码管理,,sysClassificationCodeNewCommand|sysCodeSearchText|sysCodeManageDownloadTempCommand|sysCodeManageImportUserCommand,align|reviseIndex,right|3
sysClassificationCodeOperationToolbar,分类组码管理Table操作列,,sysCodeDeleteCommand|sysClassificationCodeERPToolbar,,
sysClassificationCodeERPToolbar,ERP集成,systemSetting.workflowTemplate.command.ERPIntegration,sysClassificationAttributeCommand|sysClassificationSubitemCommand|sysClassificationAttributeAndSubitemCommand,masterStyle,link
sysNormalCodeToolbar,普通组码管理,,sysNormalCodeNewCommand|sysCodeSearchText|sysCodeManageDownloadTempCommand|sysCodeManageImportUserCommand,align|reviseIndex,right|3
sysCodeFormToolbar,组码表单(抽屉),basic.common.toolbar.sysCodeFormToolbar,sysCodeSaveCommand,,
tempSysRelationFormToolbar,关系模板表单,basic.common.toolbar.tempSysRelationFormToolbar,tempSysRelationSaveCommand,,
tempSysBomTemplateFormToolbar,bom模板表单,basic.common.toolbar.tempSysBomTemplateFormToolbar,tempSysBomTemplateSaveCommand,,
tempSysUserOptionToolbar,用户模板,,tempSysUserOpenCommand|tempSysUserCloseCommand|sysUserManageOthersToolbar,,
tempSysNewUserFormToolbar,,,tempSysNewUserFormSaveCommand,,
tempSysNewRoleFormToolbar,,,tempSysNewRoleFormSaveCommand,,
sysBomTemplateToolbar,,,sysBomNewTemplateCommand|sysBomTemplateFilterCommand,align|reviseIndex,left|2
sysRelationTemplateToolbar,,,tempSysRelationNewTemplateCommand|sysRelationTemplateSearchText|sysAssociationTemplateFilterCommand,align|reviseIndex,left|3
tempSysOrganizationStructureMenuToolbar,,,tempSysOrganizationToggleCommand,,
sysWorkflowTemplateListToolbar,工作流模板清单,,sysWorkflowTemplateAddCommand|sysWFTemplateSearchCommand|sysWFTFilterConditionCommand,align|reviseIndex,right|3
sysWorkflowTemplateOptionToolbar,工作流模板table操作,,sysWFActivitySettingAddCommand|sysWFPermissionSettingAddCommand|sysWFErpIntegrateCommand|sysWFTCopyAndNewAddCommand|sysWFTViewAndModifyAddCommand,,
sysWFSelectObjectClassficationToolbar,选择对象及分类(表格操作),,sysWFSelectOCRemoveCommand,,
sysUserManageOthersToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysUserManageUnlockCommand|tempSysUserResetCommand,masterStyle,link
sysDPermOperationToolbar,操作,basic.common.toolbar.sysBomNewTemplateCommand,sysDPermCheckCommand|sysDPermCopyNewCommand|sysDPermEditCommand|sysDPermDeleteCommand,,
sysDPermTableToolbar,数据权限表格toolbar,systemSetting.permission.command.newRules,sysNewDPermCommand,,
sysClassificationSynthesisRulesToolbar,合成规则表格toolbar,合成规则,sysClassificationSynthesisRulesCommand|sysClassificationSynthesisPasteCommand|sysClassSynthesisRulesDownloadTempCommand|sysClassSynthesisRulesImportUserCommand,align|reviseIndex,right|3
